iter	Passed	Remaining
0	0	59
1	1	55
2	1	52
3	2	48
4	2	49
5	3	47
6	3	46
7	3	45
8	4	45
9	4	44
10	5	43
11	5	43
12	6	43
13	7	43
14	7	43
15	8	43
16	8	42
17	9	41
18	9	41
19	10	40
20	10	40
21	11	40
22	12	40
23	12	40
24	13	39
25	13	39
26	14	39
27	15	38
28	15	38
29	16	38
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	20	34
37	20	33
38	21	33
39	21	32
40	22	32
41	22	31
42	23	31
43	24	30
44	24	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	29	26
52	29	26
53	30	25
54	30	24
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	37	18
67	38	18
68	38	17
69	39	16
70	40	16
71	40	15
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	49	7
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	53	4
93	53	3
94	54	2
95	54	2
96	55	1
97	56	1
98	56	0
99	57	0
