iter	Passed	Remaining
0	100	99945
1	100	50256
2	101	33669
3	101	25378
4	102	20421
5	103	17087
6	103	14708
7	104	12925
8	104	11530
9	105	10412
10	105	9501
11	106	8740
12	106	8098
13	107	7546
14	107	7067
15	108	6648
16	108	6278
17	109	5953
18	109	5668
19	110	5409
20	110	5170
21	111	4962
22	112	4765
23	112	4587
24	113	4419
25	113	4267
26	114	4125
27	115	3994
28	115	3878
29	116	3767
30	117	3661
31	117	3558
32	118	3467
33	118	3379
34	119	3297
35	120	3218
36	120	3146
37	121	3076
38	122	3007
39	122	2943
40	123	2882
41	123	2822
42	124	2766
43	124	2714
44	125	2665
45	126	2617
46	126	2571
47	127	2524
48	128	2484
49	128	2443
50	129	2404
51	129	2365
52	130	2329
53	130	2294
54	131	2260
55	132	2228
56	132	2195
57	133	2165
58	133	2135
59	134	2105
60	134	2076
61	135	2049
62	135	2022
63	136	1995
64	136	1969
65	137	1944
66	137	1919
67	138	1895
68	138	1872
69	139	1850
70	139	1827
71	140	1808
72	140	1789
73	141	1770
74	142	1751
75	142	1733
76	143	1715
77	143	1697
78	144	1680
79	144	1664
80	145	1648
81	145	1632
82	146	1615
83	146	1601
84	147	1586
85	147	1572
86	148	1558
87	148	1543
88	149	1530
89	149	1516
90	150	1502
91	150	1490
92	151	1477
93	151	1464
94	152	1454
95	153	1443
96	154	1433
97	154	1422
98	155	1411
99	155	1401
100	156	1391
101	156	1380
102	157	1371
103	158	1361
104	158	1352
105	159	1342
106	159	1333
107	160	1324
108	160	1315
109	161	1306
110	162	1297
111	162	1289
112	163	1281
113	163	1273
114	164	1265
115	165	1257
116	165	1248
117	166	1241
118	166	1233
119	167	1225
120	167	1218
121	168	1209
122	168	1202
123	169	1195
124	170	1191
125	170	1184
126	171	1175
127	171	1168
128	172	1162
129	172	1156
130	173	1149
131	173	1143
132	174	1136
133	174	1130
134	175	1124
135	176	1118
136	176	1112
137	177	1106
138	177	1101
139	178	1095
140	178	1090
141	179	1083
142	179	1078
143	180	1072
144	181	1067
145	181	1062
146	182	1057
147	182	1051
148	183	1046
149	183	1041
150	184	1038
151	185	1034
152	185	1029
153	186	1024
154	187	1020
155	187	1015
156	188	1010
157	188	1005
158	189	1001
159	189	996
160	190	991
161	190	987
162	191	984
163	192	979
164	192	975
165	193	971
166	193	966
167	194	962
168	194	958
169	195	954
170	196	950
171	196	946
172	197	943
173	198	939
174	198	936
175	199	932
176	199	928
177	200	924
178	200	921
179	201	917
180	201	913
181	202	909
182	202	905
183	203	902
184	204	898
185	204	895
186	205	892
187	205	889
188	206	885
189	206	882
190	207	878
191	208	875
192	208	872
193	209	868
194	209	865
195	210	861
196	210	858
197	211	855
198	211	851
199	212	848
200	212	845
201	213	842
202	213	839
203	214	836
204	214	833
205	215	830
206	216	827
207	216	825
208	217	822
209	217	819
210	218	816
211	218	813
212	219	811
213	220	808
214	220	805
215	221	802
216	221	800
217	222	798
218	223	795
219	223	792
220	224	790
221	224	787
222	225	784
223	225	782
224	226	779
225	226	777
226	227	775
227	228	772
228	228	770
229	229	768
230	230	765
231	230	763
232	231	760
233	231	758
234	232	755
235	232	753
236	233	750
237	233	748
238	234	745
239	234	743
240	235	741
241	236	739
242	236	736
243	237	734
244	237	732
245	238	730
246	238	728
247	239	725
248	239	723
249	240	721
250	241	719
251	241	717
252	242	714
253	242	712
254	243	710
255	243	708
256	244	706
257	244	704
258	245	702
259	245	699
260	246	697
261	246	695
262	247	693
263	248	691
264	248	689
265	249	687
266	249	685
267	250	683
268	250	681
269	251	679
270	252	678
271	252	676
272	253	674
273	253	672
274	254	670
275	254	668
276	255	666
277	256	665
278	256	663
279	257	661
280	257	659
281	258	657
282	258	655
283	259	654
284	260	652
285	260	650
286	261	648
287	261	647
288	262	645
289	263	643
290	263	642
291	264	640
292	264	638
293	265	637
294	265	635
295	266	634
296	267	632
297	267	631
298	268	629
299	269	627
300	269	626
301	270	624
302	270	623
303	271	621
304	271	619
305	272	618
306	273	617
307	273	615
308	274	613
309	275	612
310	275	610
311	276	608
312	276	607
313	277	605
314	277	603
315	278	602
316	278	601
317	279	599
318	280	597
319	280	596
320	281	594
321	281	593
322	282	591
323	282	590
324	283	588
325	284	587
326	284	585
327	285	584
328	285	583
329	286	581
330	286	579
331	287	578
332	287	576
333	288	575
334	289	573
335	289	572
336	290	570
337	290	569
338	291	567
339	291	566
340	292	565
341	292	563
342	293	562
343	294	560
344	294	559
345	295	558
346	295	556
347	296	555
348	296	553
349	297	552
350	298	551
351	298	550
352	299	548
353	299	547
354	300	545
355	301	544
356	301	543
357	302	542
358	302	540
359	303	539
360	304	539
361	305	538
362	306	536
363	306	535
364	307	534
365	307	533
366	308	531
367	308	530
368	309	529
369	310	527
370	310	526
371	311	525
372	312	524
373	312	523
374	313	522
375	313	520
376	314	519
377	314	518
378	315	516
379	315	515
380	316	514
381	317	513
382	317	512
383	318	510
384	319	509
385	319	508
386	320	507
387	320	506
388	321	504
389	322	503
390	322	502
391	323	501
392	323	499
393	324	498
394	324	497
395	325	495
396	325	494
397	326	493
398	327	492
399	327	491
400	328	490
401	328	489
